CarID | OwnerNationalID | StartDate | EndDate | PlateNumber
60469 | 4040862948 | 2022-01-16 | 2024-07-27 | 34G653-61
45636 | 5971312583 | 2023-09-20 | 2024-11-03 | 49C419-11
35874 | 4325209135 | 2022-02-25 | 2025-04-13 | 28A544-22
62722 | 4700145847 | 2020-11-14 | 2025-03-26 | 80D906-81
13638 | 6359401932 | 2021-09-07 | 2024-07-11 | 28G206-44
44836 | 7130569227 | 2022-07-25 | 2024-11-14 | 62H271-71
12770 | 6807774273 | 2021-11-01 | 2025-03-11 | 39D628-71
49038 | 6894242162 | 2020-09-18 | 2024-07-31 | 91E213-91
97753 | 7101206372 | 2024-01-23 | 2024-09-08 | 62D604-44
78697 | 6402877975 | 2024-01-18 | 2024-12-08 | 77A681-71
12352 | 1799199260 | 2023-09-02 | 2024-07-20 | 48F334-44
41485 | 7426639929 | 2021-12-05 | 2024-07-22 | 67F376-71
80199 | 9544838704 | 2022-09-22 | 2025-02-28 | 69E135-61
97906 | 9166344290 | 2022-02-15 | 2024-07-02 | 75D715-44
92157 | 9768355105 | 2023-09-18 | 2025-05-10 | 18E813-61
34171 | 7409875279 | 2024-04-05 | 2025-04-30 | 70A554-81
27496 | 9166344290 | 2021-05-05 | 2024-08-09 | 59D327-71
94990 | 4040862948 | 2023-12-22 | 2025-05-17 | 21A763-71
42006 | 8663898744 | 2020-09-03 | 2025-03-27 | 56F689-51
91883 | 8663898744 | 2023-05-13 | 2025-01-28 | 21F781-22
93291 | 1932856124 | 2022-09-02 | 2025-04-20 | 74E486-22
10824 | 8925489406 | 2021-10-10 | 2024-08-30 | 43C188-22
61107 | 7661825150 | 2023-03-29 | 2025-02-15 | 61G903-31
53536 | 4803831779 | 2021-09-29 | 2024-12-19 | 60A939-31
66932 | 4632720607 | 2023-01-25 | 2025-03-28 | 33C696-61
80073 | 1807148544 | 2020-06-13 | 2024-08-16 | 42D902-81
81959 | 6101451694 | 2024-01-20 | 2024-06-24 | 96H646-31
18697 | 1090239812 | 2021-09-12 | 2025-03-31 | 89C692-61
79703 | 6402877975 | 2023-05-26 | 2024-08-03 | 73B338-22
67037 | 1302621549 | 2023-12-31 | 2025-03-14 | 91D628-81
51426 | 5903263637 | 2022-04-10 | 2025-04-26 | 30G518-81
77415 | 8591847813 | 2022-02-24 | 2025-03-16 | 61F565-91
14206 | 3451694088 | 2021-11-29 | 2025-02-15 | 44C220-51
58414 | 6441795575 | 2021-11-15 | 2024-06-02 | 56F253-22
55749 | 2612571808 | 2022-06-12 | 2025-04-21 | 75H189-91
97899 | 5903263637 | 2022-06-18 | 2025-02-03 | 14E120-51
19232 | 1621911884 | 2020-09-09 | 2025-04-27 | 80B622-91
53607 | 7237581923 | 2024-01-15 | 2024-08-01 | 21C133-81
16417 | 2612571808 | 2020-11-15 | 2024-11-30 | 57G469-22
46030 | 6402877975 | 2022-05-13 | 2024-07-09 | 52D965-44
41947 | 1662573934 | 2021-06-15 | 2025-02-22 | 24B318-81
59605 | 1368623030 | 2022-03-30 | 2024-11-07 | 58H793-71
14959 | 8925489406 | 2022-11-08 | 2025-02-02 | 93A329-71
91462 | 6359401932 | 2020-07-13 | 2024-05-30 | 94G454-91
71306 | 1010367551 | 2023-10-14 | 2025-01-19 | 98B633-44
74483 | 4014834312 | 2022-04-22 | 2024-07-11 | 41A279-44
39683 | 2479585403 | 2024-03-20 | 2024-06-15 | 69D998-11
44849 | 5903263637 | 2020-06-01 | 2024-11-01 | 83A741-91
90902 | 9716873342 | 2022-09-20 | 2024-09-26 | 52A281-71
82652 | 7131633603 | 2024-03-21 | 2024-11-22 | 82D524-61
